Date,Open,High,Low,Close,Adj Close,Volume
2018-02-06,21.680595,22.441475,21.394146,22.137123,18.881907,5208498
2018-02-07,22.002850,22.754778,22.002850,22.387766,19.095692,2505830
2018-02-08,22.387766,22.387766,21.358339,21.358339,18.217642,2556212
2018-02-09,21.644789,21.886480,21.000278,21.707451,18.515421,2239171
2018-02-12,21.886480,22.468330,21.796965,22.235590,18.965891,2515549
2018-02-13,22.038656,22.181881,21.975996,22.020754,18.782650,1651227
2018-02-14,21.850674,22.584700,21.841722,22.575748,19.256037,1454948
2018-02-15,22.647360,22.736876,22.137123,22.316154,19.034611,2077411
2018-02-16,22.226639,22.513086,22.217688,22.351959,19.065151,2283521
2018-02-20,22.307201,22.647360,22.298250,22.468330,19.164413,1851863
2018-02-21,22.423573,22.754778,22.343008,22.360910,19.072788,1645753
2018-02-22,22.468330,22.477282,21.877529,21.913336,18.691031,1579507
2018-02-23,22.002850,22.378815,21.895432,22.351959,19.065151,1952293
2018-02-26,22.459377,22.584700,22.253492,22.396717,19.103333,1301119
2018-02-27,22.504135,22.781633,21.975996,21.984947,18.752108,1501308
2018-02-28,22.092365,22.128172,21.465759,21.474710,18.316900,2449862
2018-03-01,21.421001,21.716400,21.089794,21.161407,18.049669,2371439
2018-03-02,20.991327,21.367292,20.704880,21.313583,18.179468,1789192
2018-03-05,21.134552,21.600033,21.000278,21.412048,18.263453,1904256
2018-03-06,21.564224,21.662691,21.277777,21.546322,18.377979,3022725
2018-03-07,21.322535,21.519468,21.188261,21.483662,18.324537,1786511
2018-03-08,21.519468,21.573177,21.152454,21.465759,18.309265,2708253
2018-03-09,21.680595,22.128172,21.600033,21.931238,18.706295,1892973
2018-03-12,21.904383,22.029705,21.850674,21.931238,18.706295,2007814
2018-03-13,22.065512,22.065512,21.689547,21.752207,18.553587,2305305
2018-03-14,21.832771,21.949141,21.653742,21.752207,18.553587,3072772
2018-03-15,21.841722,22.002850,21.734304,21.850674,18.637577,3578943
2018-03-16,21.850674,22.128172,21.796965,22.065512,18.898251,3359762
2018-03-19,22.020754,22.047607,21.268826,21.483662,18.399916,3064841
2018-03-20,21.564224,21.573177,20.758589,20.758589,17.778913,3117904
2018-03-21,20.731733,20.937618,20.660122,20.731733,17.755917,2460474
2018-03-22,20.525848,20.713831,20.006660,20.015612,17.142591,2401825
2018-03-23,20.069321,20.149883,19.442715,19.559084,16.751587,3212972
2018-03-26,19.881338,20.158836,19.764969,20.123030,17.234592,2266541
2018-03-27,20.185690,20.239401,19.720211,19.827629,16.981586,3044062
2018-03-28,19.827629,20.140932,19.764969,20.096174,17.211584,2758859
2018-03-29,20.248350,20.516897,20.194641,20.346819,17.426254,2525268
2018-04-02,20.212545,20.337866,19.505375,19.782871,16.943254,2493877
2018-04-03,19.926096,19.997707,19.657551,19.943998,17.081251,2217276
2018-04-04,19.585938,19.988756,19.585938,19.917145,17.058258,4290889
2018-04-05,20.024563,20.275206,19.926096,20.123030,17.234592,3035795
2018-04-06,19.952951,20.006660,19.344248,19.487471,16.690250,3461198
2018-04-09,21.125601,22.155025,20.821249,21.743256,18.622250,8660647
2018-04-10,21.886480,22.262444,21.814869,21.823820,18.691242,5446222
2018-04-11,21.608982,21.814869,21.519468,21.761160,18.637583,3346133
2018-04-12,21.814869,22.038656,21.788013,21.805918,18.675915,5967809
2018-04-13,21.931238,22.038656,21.707451,21.752207,18.629908,3664627
2018-04-16,21.913336,22.146074,21.805918,22.047607,18.882915,3486221
2018-04-17,22.190832,22.217688,21.877529,21.958094,18.806248,4048919
2018-04-18,21.984947,21.984947,21.608982,21.770109,18.645243,3711769
2018-04-19,21.796965,22.047607,21.582129,21.582129,18.484247,3091205
2018-04-20,21.707451,21.814869,21.492613,21.501566,18.415247,3899000
2018-04-23,21.617935,21.931238,21.573177,21.859627,18.721912,3358645
